,year,period,value
0,2010,M12,219.179
1,2010,M11,218.803
2,2010,M10,218.711
3,2010,M09,218.439
4,2010,M08,218.312
5,2010,M07,218.011
6,2010,M06,217.965
7,2010,M05,218.178
8,2010,M04,218.009
9,2010,M03,217.631
10,2010,M02,216.741
11,2010,M01,216.687
12,2009,M12,215.949
13,2009,M11,216.330
14,2009,M10,216.177
15,2009,M09,215.969
16,2009,M08,215.834
17,2009,M07,215.351
18,2009,M06,215.693
19,2009,M05,213.856
20,2009,M04,213.240
21,2009,M03,212.709
22,2009,M02,212.193
23,2009,M01,211.143
24,2008,M12,210.228
25,2008,M11,212.425
26,2008,M10,216.573
27,2008,M09,218.783
28,2008,M08,219.086
29,2008,M07,219.964
30,2008,M06,218.815
31,2008,M05,216.632
32,2008,M04,214.823
33,2008,M03,213.528
34,2008,M02,211.693
35,2008,M01,211.080
36,2007,M12,210.036
37,2007,M11,210.177
38,2007,M10,208.936
39,2007,M09,208.490
40,2007,M08,207.917
41,2007,M07,208.299
42,2007,M06,208.352
43,2007,M05,207.949
44,2007,M04,206.686
45,2007,M03,205.352
46,2007,M02,203.499
47,2007,M01,202.416
48,2006,M12,201.8
49,2006,M11,201.5
50,2006,M10,201.8
51,2006,M09,202.9
52,2006,M08,203.9
53,2006,M07,203.5
54,2006,M06,202.9
55,2006,M05,202.5
56,2006,M04,201.5
57,2006,M03,199.8
58,2006,M02,198.7
59,2006,M01,198.3
60,2005,M12,196.8
61,2005,M11,197.6
62,2005,M10,199.2
63,2005,M09,198.8
64,2005,M08,196.4
65,2005,M07,195.4
66,2005,M06,194.5
67,2005,M05,194.4
68,2005,M04,194.6
69,2005,M03,193.3
70,2005,M02,191.8
71,2005,M01,190.7
72,2004,M12,190.3
73,2004,M11,191.0
74,2004,M10,190.9
75,2004,M09,189.9
76,2004,M08,189.5
77,2004,M07,189.4
78,2004,M06,189.7
79,2004,M05,189.1
80,2004,M04,188.0
81,2004,M03,187.4
82,2004,M02,186.2
83,2004,M01,185.2
84,2003,M12,184.3
85,2003,M11,184.5
86,2003,M10,185.0
87,2003,M09,185.2
88,2003,M08,184.6
89,2003,M07,183.9
90,2003,M06,183.7
91,2003,M05,183.5
92,2003,M04,183.8
93,2003,M03,184.2
94,2003,M02,183.1
95,2003,M01,181.7
96,2002,M12,180.9
97,2002,M11,181.3
98,2002,M10,181.3
99,2002,M09,181.0
100,2002,M08,180.7
101,2002,M07,180.1
102,2002,M06,179.9
103,2002,M05,179.8
104,2002,M04,179.8
105,2002,M03,178.8
106,2002,M02,177.8
107,2002,M01,177.1
108,2001,M12,176.7
109,2001,M11,177.4
110,2001,M10,177.7
111,2001,M09,178.3
112,2001,M08,177.5
113,2001,M07,177.5
114,2001,M06,178.0
115,2001,M05,177.7
116,2001,M04,176.9
117,2001,M03,176.2
118,2001,M02,175.8
119,2001,M01,175.1
