,year,period,value
0,2010,Q04,1.8
1,2010,Q03,1.6
2,2010,Q02,1.6
3,2010,Q01,1.5
4,2009,Q04,1.3
5,2009,Q03,1.4
6,2009,Q02,1.6
7,2009,Q01,2.0
8,2008,Q04,2.6
9,2008,Q03,2.9
10,2008,Q02,3.1
11,2008,Q01,3.2
12,2007,Q04,3.3
13,2007,Q03,3.4
14,2007,Q02,3.3
15,2007,Q01,3.6
16,2006,Q04,3.2
17,2006,Q03,3.0
18,2006,Q02,2.8
19,2006,Q01,2.4
20,2005,Q04,2.5
21,2005,Q03,2.3
22,2005,Q02,2.5
23,2005,Q01,2.7
24,2004,Q04,2.6
25,2004,Q03,2.6
26,2004,Q02,2.7
27,2004,Q01,2.6
28,2003,Q04,3.1
29,2003,Q03,3.0
30,2003,Q02,2.6
31,2003,Q01,2.9
32,2002,Q04,2.6
33,2002,Q03,3.1
34,2002,Q02,3.6
35,2002,Q01,3.5
36,2001,Q04,3.8
37,2001,Q03,3.5
38,2001,Q02,3.6
39,2001,Q01,3.8
